character,trait,score,stability
watson,openness,0.4729955334281606,0.928612793130722
watson,conscientiousness,0.5480728434600822,0.8792818512331776
watson,extraversion,0.08169141450569653,0.9981716417897759
watson,agreeableness,0.5,1.0
watson,neuroticism,0.012015486786654844,0.967137031142538
sherlock,openness,0.2539783417085994,0.9974705035831648
sherlock,conscientiousness,0.9932417803321769,0.9783663681992977
sherlock,extraversion,0.08134071311319824,0.9982746702124262
sherlock,agreeableness,0.5,1.0
sherlock,neuroticism,0.1084025721743351,1.0
